,country,level_education,year,ratio_employment_to_population
19032,DOM,INTERMEDATE,2017,46.812
19033,DOM,ADVANCED,2017,77.202
19071,DOM,TOTAL,2016,43.804
19072,DOM,LESS_THAN_BASIC,2016,30.367
19073,DOM,BASIC,2016,38.975
19074,DOM,INTERMEDATE,2016,45.647
19075,DOM,ADVANCED,2016,77.691
19113,DOM,TOTAL,2015,43.092
19114,DOM,LESS_THAN_BASIC,2015,29.909
19115,DOM,BASIC,2015,36.371
19116,DOM,INTERMEDATE,2015,48.601
19117,DOM,ADVANCED,2015,77.007
19155,DOM,TOTAL,2014,41.044
19156,DOM,LESS_THAN_BASIC,2014,28.444
19157,DOM,BASIC,2014,34.697
19158,DOM,INTERMEDATE,2014,45.954
19159,DOM,ADVANCED,2014,72.001
19197,DOM,TOTAL,2013,40.399
19198,DOM,LESS_THAN_BASIC,2013,27.605
19199,DOM,BASIC,2013,33.254
19200,DOM,INTERMEDATE,2013,46.577
19201,DOM,ADVANCED,2013,75.915
19238,DOM,TOTAL,2012,41.108
19239,DOM,LESS_THAN_BASIC,2012,28.391
19240,DOM,BASIC,2012,33.012
19241,DOM,INTERMEDATE,2012,48.971
19242,DOM,ADVANCED,2012,75.523
19279,DOM,TOTAL,2011,40.078
19280,DOM,LESS_THAN_BASIC,2011,28.512
19281,DOM,BASIC,2011,33.64
19282,DOM,INTERMEDATE,2011,46.842
19283,DOM,ADVANCED,2011,74.902
19320,DOM,TOTAL,2010,38.789
19321,DOM,LESS_THAN_BASIC,2010,26.712
19322,DOM,BASIC,2010,32.565
19323,DOM,INTERMEDATE,2010,45.179
19324,DOM,ADVANCED,2010,75.163
19361,DOM,TOTAL,2009,35.942
19362,DOM,LESS_THAN_BASIC,2009,25.364
19363,DOM,BASIC,2009,30.496
19364,DOM,INTERMEDATE,2009,41.543
19365,DOM,ADVANCED,2009,70.142
19403,DOM,TOTAL,2008,38.868
19404,DOM,LESS_THAN_BASIC,2008,27.752
19405,DOM,BASIC,2008,32.839
19406,DOM,INTERMEDATE,2008,47.875
19407,DOM,ADVANCED,2008,73.938
19445,DOM,TOTAL,2007,37.312
19446,DOM,LESS_THAN_BASIC,2007,25.625
19447,DOM,BASIC,2007,32.765
19448,DOM,INTERMEDATE,2007,46.051
19449,DOM,ADVANCED,2007,71.625
19487,DOM,TOTAL,2006,37.094
19488,DOM,LESS_THAN_BASIC,2006,25.986
19489,DOM,BASIC,2006,31.343
19490,DOM,INTERMEDATE,2006,47.866
19491,DOM,ADVANCED,2006,73.492
19528,DOM,TOTAL,2005,35.915
19529,DOM,LESS_THAN_BASIC,2005,25.002
19530,DOM,BASIC,2005,30.977
19531,DOM,INTERMEDATE,2005,45.841
19532,DOM,ADVANCED,2005,74.796
19570,DOM,TOTAL,2004,35.316
19571,DOM,LESS_THAN_BASIC,2004,24.582
19572,DOM,BASIC,2004,30.864
19573,DOM,INTERMEDATE,2004,44.126
19574,DOM,ADVANCED,2004,73.694
19612,DOM,TOTAL,2003,35.337
19613,DOM,LESS_THAN_BASIC,2003,24.677
19614,DOM,BASIC,2003,30.679
19615,DOM,INTERMEDATE,2003,46.288
19616,DOM,ADVANCED,2003,75.154
19654,DOM,TOTAL,2002,36.089
19655,DOM,LESS_THAN_BASIC,2002,25.058
19656,DOM,BASIC,2002,32.856
19657,DOM,INTERMEDATE,2002,49.62
19658,DOM,ADVANCED,2002,72.769
19695,DOM,TOTAL,2001,34.235
19696,DOM,LESS_THAN_BASIC,2001,23.799
19697,DOM,BASIC,2001,30.969
19698,DOM,INTERMEDATE,2001,49.403
19699,DOM,ADVANCED,2001,71.298
19737,DOM,TOTAL,2000,35.738
19738,DOM,LESS_THAN_BASIC,2000,25.161
19739,DOM,BASIC,2000,33.044
19740,DOM,INTERMEDATE,2000,50.732
19741,DOM,ADVANCED,2000,74.802
19779,ECU,TOTAL,2023,50.639
19780,ECU,LESS_THAN_BASIC,2023,47.676
19781,ECU,BASIC,2023,45.698
19782,ECU,INTERMEDATE,2023,49.914
19783,ECU,ADVANCED,2023,68.78
19820,ECU,TOTAL,2022,51.185
19821,ECU,LESS_THAN_BASIC,2022,45.344
19822,ECU,BASIC,2022,46.8
19823,ECU,INTERMEDATE,2022,51.452
19824,ECU,ADVANCED,2022,69.084
19860,ECU,TOTAL,2021,50.039
19861,ECU,LESS_THAN_BASIC,2021,45.374
19862,ECU,BASIC,2021,46.079
19863,ECU,INTERMEDATE,2021,49.301
19864,ECU,ADVANCED,2021,67.079
19902,ECU,TOTAL,2019,52.028
19903,ECU,LESS_THAN_BASIC,2019,51.139
19904,ECU,BASIC,2019,47.224
19905,ECU,INTERMEDATE,2019,50.612
19906,ECU,ADVANCED,2019,70.122
19944,ECU,TOTAL,2018,52.237
19945,ECU,LESS_THAN_BASIC,2018,50.433
19946,ECU,BASIC,2018,47.767
19947,ECU,INTERMEDATE,2018,50.694
19948,ECU,ADVANCED,2018,70.711
19986,ECU,TOTAL,2017,53.618
19987,ECU,LESS_THAN_BASIC,2017,51.769
19988,ECU,BASIC,2017,48.856
19989,ECU,INTERMEDATE,2017,53.053
19990,ECU,ADVANCED,2017,70.997
20028,ECU,TOTAL,2016,52.396
20029,ECU,LESS_THAN_BASIC,2016,51.019
20030,ECU,BASIC,2016,47.413
20031,ECU,INTERMEDATE,2016,50.914
20032,ECU,ADVANCED,2016,71.245
20070,ECU,TOTAL,2015,49.794
20071,ECU,LESS_THAN_BASIC,2015,46.711
20072,ECU,BASIC,2015,44.386
20073,ECU,INTERMEDATE,2015,49.3
20074,ECU,ADVANCED,2015,71.142
20111,ECU,TOTAL,2014,45.955
20112,ECU,LESS_THAN_BASIC,2014,40.798
20113,ECU,BASIC,2014,39.949
20114,ECU,INTERMEDATE,2014,46.769
20115,ECU,ADVANCED,2014,69.543
20146,ECU,TOTAL,2013,46.548
20147,ECU,LESS_THAN_BASIC,2013,40.705
20148,ECU,BASIC,2013,40.577
20149,ECU,INTERMEDATE,2013,47.367
20150,ECU,ADVANCED,2013,71.011
20183,ECU,TOTAL,2012,46.46
20184,ECU,LESS_THAN_BASIC,2012,40.245
20185,ECU,BASIC,2012,39.604
20186,ECU,INTERMEDATE,2012,48.848
20187,ECU,ADVANCED,2012,71.952
20223,ECU,TOTAL,2011,45.308
20224,ECU,LESS_THAN_BASIC,2011,39.658
20225,ECU,BASIC,2011,38.702
20226,ECU,INTERMEDATE,2011,47.598
20227,ECU,ADVANCED,2011,71.024
20260,ECU,TOTAL,2010,45.857
20261,ECU,LESS_THAN_BASIC,2010,40.106
20262,ECU,BASIC,2010,40.079
20263,ECU,INTERMEDATE,2010,47.693
20264,ECU,ADVANCED,2010,70.721
20298,ECU,TOTAL,2009,46.958
20299,ECU,LESS_THAN_BASIC,2009,42.388
20300,ECU,BASIC,2009,41.13
20301,ECU,INTERMEDATE,2009,49.786
20302,ECU,ADVANCED,2009,70.306
20335,ECU,TOTAL,2008,49.594
20336,ECU,LESS_THAN_BASIC,2008,44.029
20337,ECU,BASIC,2008,44.415
20338,ECU,INTERMEDATE,2008,51.737
20339,ECU,ADVANCED,2008,74.4
20375,ECU,TOTAL,2007,50.08
20376,ECU,LESS_THAN_BASIC,2007,45.069
20377,ECU,BASIC,2007,44.76
20378,ECU,INTERMEDATE,2007,53.633
20379,ECU,ADVANCED,2007,73.57
20417,ECU,TOTAL,2006,50.505
20418,ECU,LESS_THAN_BASIC,2006,47.321
20419,ECU,BASIC,2006,47.254
20420,ECU,INTERMEDATE,2006,47.842
20421,ECU,ADVANCED,2006,76.37
20452,ECU,TOTAL,2005,49.529
20453,ECU,LESS_THAN_BASIC,2005,46.964
20454,ECU,BASIC,2005,46.026
20455,ECU,INTERMEDATE,2005,48.927
20456,ECU,ADVANCED,2005,74.123
20487,ECU,TOTAL,2004,49.864
20488,ECU,LESS_THAN_BASIC,2004,48.437
20489,ECU,BASIC,2004,46.427
20490,ECU,INTERMEDATE,2004,50.038
20491,ECU,ADVANCED,2004,73.303
20522,ECU,TOTAL,2003,46.174
20523,ECU,LESS_THAN_BASIC,2003,42.574
20524,ECU,BASIC,2003,42.613
20525,ECU,INTERMEDATE,2003,49.39
20526,ECU,ADVANCED,2003,73.193
20557,ECU,TOTAL,2001,51.876
20558,ECU,LESS_THAN_BASIC,2001,54.564
20559,ECU,BASIC,2001,50.725
20560,ECU,INTERMEDATE,2001,47.352
20561,ECU,ADVANCED,2001,68.625
20598,ECU,TOTAL,2000,43.014
20599,ECU,LESS_THAN_BASIC,2000,40.979
20600,ECU,BASIC,2000,40.774
20601,ECU,INTERMEDATE,2000,39.433
20602,ECU,ADVANCED,2000,68.352
20637,EGY,TOTAL,2022,12.223
20638,EGY,LESS_THAN_BASIC,2022,8.456
20639,EGY,BASIC,2022,4.241
20640,EGY,INTERMEDATE,2022,11.958
20641,EGY,ADVANCED,2022,32.419
20679,EGY,TOTAL,2021,12.873
20680,EGY,LESS_THAN_BASIC,2021,9.458
20681,EGY,BASIC,2021,4.538
20682,EGY,INTERMEDATE,2021,13.273
20683,EGY,ADVANCED,2021,32.926
20721,EGY,TOTAL,2020,11.837
20722,EGY,LESS_THAN_BASIC,2020,8.924
20723,EGY,BASIC,2020,4.012
20724,EGY,INTERMEDATE,2020,12.099
20725,EGY,ADVANCED,2020,31.51
20763,EGY,TOTAL,2019,12.227
20764,EGY,LESS_THAN_BASIC,2019,7.846
20765,EGY,BASIC,2019,5.317
20766,EGY,INTERMEDATE,2019,21.013
20798,EGY,TOTAL,2018,14.382
20799,EGY,LESS_THAN_BASIC,2018,12.265
20800,EGY,BASIC,2018,5.255
20801,EGY,INTERMEDATE,2018,14.892
20802,EGY,ADVANCED,2018,36.179
20839,EGY,TOTAL,2017,16.869
20840,EGY,LESS_THAN_BASIC,2017,13.854
20841,EGY,BASIC,2017,9.287
20842,EGY,INTERMEDATE,2017,16.982
20843,EGY,ADVANCED,2017,43.96
20881,EGY,TOTAL,2016,17.505
20882,EGY,LESS_THAN_BASIC,2016,14.409
20883,EGY,BASIC,2016,9.721
20884,EGY,INTERMEDATE,2016,17.808
20885,EGY,ADVANCED,2016,45.168
20922,EGY,TOTAL,2015,17.041
20923,EGY,LESS_THAN_BASIC,2015,12.666
20924,EGY,BASIC,2015,10.55
20925,EGY,INTERMEDATE,2015,17.953
20926,EGY,ADVANCED,2015,42.142
20961,EGY,TOTAL,2014,17.529
20962,EGY,LESS_THAN_BASIC,2014,15.819
20963,EGY,BASIC,2014,5.174
20964,EGY,INTERMEDATE,2014,19.092
20965,EGY,ADVANCED,2014,42.449
20996,EGY,TOTAL,2013,17.378
20997,EGY,LESS_THAN_BASIC,2013,15.594
20998,EGY,BASIC,2013,5.105
20999,EGY,INTERMEDATE,2013,18.921
21000,EGY,ADVANCED,2013,41.929
21031,EGY,TOTAL,2012,17.014
21032,EGY,LESS_THAN_BASIC,2012,14.784
21033,EGY,BASIC,2012,4.29
21034,EGY,INTERMEDATE,2012,18.465
21035,EGY,ADVANCED,2012,42.736
21066,EGY,TOTAL,2011,17.354
21067,EGY,LESS_THAN_BASIC,2011,15.931
21068,EGY,BASIC,2011,4.131
21069,EGY,INTERMEDATE,2011,18.323
21070,EGY,ADVANCED,2011,41.433
21101,EGY,TOTAL,2010,17.957
21102,EGY,LESS_THAN_BASIC,2010,16.824
21103,EGY,BASIC,2010,4.415
21104,EGY,INTERMEDATE,2010,18.687
21105,EGY,ADVANCED,2010,41.34
21136,EGY,TOTAL,2009,17.671
21137,EGY,LESS_THAN_BASIC,2009,16.094
21138,EGY,BASIC,2009,4.469
21139,EGY,INTERMEDATE,2009,18.7
21140,EGY,ADVANCED,2009,42.796
21171,EGY,TOTAL,2008,17.624
21172,EGY,LESS_THAN_BASIC,2008,15.636
21173,EGY,BASIC,2008,3.824
21174,EGY,INTERMEDATE,2008,19.344
21175,EGY,ADVANCED,2008,44.94
21206,ESP,TOTAL,2023,45.951
21207,ESP,LESS_THAN_BASIC,2023,6.925
21208,ESP,BASIC,2023,28.407
21209,ESP,INTERMEDATE,2023,49.683
21210,ESP,ADVANCED,2023,72.178
21241,ESP,TOTAL,2022,45.364
21242,ESP,LESS_THAN_BASIC,2022,5.126
21243,ESP,BASIC,2022,27.045
21244,ESP,INTERMEDATE,2022,50.027
21245,ESP,ADVANCED,2022,72.14
21276,ESP,TOTAL,2021,44.196
21277,ESP,LESS_THAN_BASIC,2021,4.572
21278,ESP,BASIC,2021,27.009
21279,ESP,INTERMEDATE,2021,47.486
21280,ESP,ADVANCED,2021,70.31
21311,ESP,TOTAL,2020,42.621
21312,ESP,LESS_THAN_BASIC,2020,3.858
21313,ESP,BASIC,2020,26.5
21314,ESP,INTERMEDATE,2020,46.104
21315,ESP,ADVANCED,2020,69.98
21346,ESP,TOTAL,2019,44.263
21347,ESP,LESS_THAN_BASIC,2019,5.07
21348,ESP,BASIC,2019,28.839
21349,ESP,INTERMEDATE,2019,51.247
21350,ESP,ADVANCED,2019,71.206
21381,ESP,TOTAL,2018,43.51
21382,ESP,LESS_THAN_BASIC,2018,4.771
21383,ESP,BASIC,2018,28.376
21384,ESP,INTERMEDATE,2018,50.532
21385,ESP,ADVANCED,2018,71.828
21416,ESP,TOTAL,2017,42.63
21417,ESP,LESS_THAN_BASIC,2017,4.133
21418,ESP,BASIC,2017,28.068
21419,ESP,INTERMEDATE,2017,49.559
21420,ESP,ADVANCED,2017,70.53
21451,ESP,TOTAL,2016,41.699
21452,ESP,LESS_THAN_BASIC,2016,5.148
21453,ESP,BASIC,2016,27.313
21454,ESP,INTERMEDATE,2016,50.273
21455,ESP,ADVANCED,2016,70.526
21486,ESP,TOTAL,2015,40.61
21487,ESP,LESS_THAN_BASIC,2015,4.501
21488,ESP,BASIC,2015,27.712
21489,ESP,INTERMEDATE,2015,48.196
21490,ESP,ADVANCED,2015,68.324
21521,ESP,TOTAL,2014,39.614
21522,ESP,LESS_THAN_BASIC,2014,5.221
21523,ESP,BASIC,2014,27.203
21524,ESP,INTERMEDATE,2014,46.979
21525,ESP,ADVANCED,2014,67.689
21556,ESP,TOTAL,2013,39.155
21557,ESP,LESS_THAN_BASIC,2013,1.469
21558,ESP,BASIC,2013,23.794
21559,ESP,INTERMEDATE,2013,47.984
21560,ESP,ADVANCED,2013,67.383
21597,ESP,TOTAL,2012,40.073
21598,ESP,LESS_THAN_BASIC,2012,2.957
21599,ESP,BASIC,2012,25.041
21600,ESP,INTERMEDATE,2012,48.147
21601,ESP,ADVANCED,2012,68.424
21638,ESP,TOTAL,2011,41.291
21639,ESP,LESS_THAN_BASIC,2011,2.592
21640,ESP,BASIC,2011,26.314
21641,ESP,INTERMEDATE,2011,50.272
21642,ESP,ADVANCED,2011,70.324
21679,ESP,TOTAL,2010,41.626
21680,ESP,LESS_THAN_BASIC,2010,4.382
21681,ESP,BASIC,2010,26.589
21682,ESP,INTERMEDATE,2010,53.717
21683,ESP,ADVANCED,2010,71.122
21720,ESP,TOTAL,2009,42.129
21721,ESP,LESS_THAN_BASIC,2009,3.689
21722,ESP,BASIC,2009,27.428
21723,ESP,INTERMEDATE,2009,53.617
21724,ESP,ADVANCED,2009,72.648
21761,ESP,TOTAL,2008,43.884
21762,ESP,LESS_THAN_BASIC,2008,3.223
21763,ESP,BASIC,2008,29.192
21764,ESP,INTERMEDATE,2008,56.725
21765,ESP,ADVANCED,2008,74.313
21802,ESP,TOTAL,2007,43.739
21803,ESP,LESS_THAN_BASIC,2007,3.603
21804,ESP,BASIC,2007,28.887
21805,ESP,INTERMEDATE,2007,56.195
21806,ESP,ADVANCED,2007,75.838
21842,ESP,TOTAL,2006,42.495
21843,ESP,LESS_THAN_BASIC,2006,3.308
21844,ESP,BASIC,2006,27.575
21845,ESP,INTERMEDATE,2006,55.55
21846,ESP,ADVANCED,2006,74.44
21883,ESP,TOTAL,2005,40.92
21884,ESP,BASIC,2005,26.111
21885,ESP,INTERMEDATE,2005,54.185
21886,ESP,ADVANCED,2005,73.292
21911,ESP,TOTAL,2004,38.242
21912,ESP,BASIC,2004,24.951
21913,ESP,INTERMEDATE,2004,50.865
21914,ESP,ADVANCED,2004,71.929
21939,ESP,TOTAL,2003,36.779
21940,ESP,BASIC,2003,24.606
21941,ESP,INTERMEDATE,2003,48.619
21942,ESP,ADVANCED,2003,70.724
21967,ESP,TOTAL,2002,35.368
21968,ESP,BASIC,2002,23.941
21969,ESP,INTERMEDATE,2002,46.479
21970,ESP,ADVANCED,2002,68.537
21995,ESP,TOTAL,2001,33.614
21996,ESP,BASIC,2001,23.192
21997,ESP,INTERMEDATE,2001,43.404
21998,ESP,ADVANCED,2001,67.124
22023,ESP,TOTAL,2000,32.429
22024,ESP,BASIC,2000,22.72
22025,ESP,INTERMEDATE,2000,42.456
22026,ESP,ADVANCED,2000,65.348
22051,EST,TOTAL,2023,57.909
22052,EST,BASIC,2023,23.264
22053,EST,INTERMEDATE,2023,57.159
22054,EST,ADVANCED,2023,72.873
22078,EST,TOTAL,2022,57.563
22079,EST,LESS_THAN_BASIC,2022,-1.0
22080,EST,BASIC,2022,23.235
22081,EST,INTERMEDATE,2022,56.828
22082,EST,ADVANCED,2022,73.176
22108,EST,TOTAL,2021,55.055
22109,EST,LESS_THAN_BASIC,2021,-1.0
22110,EST,BASIC,2021,20.334
22111,EST,INTERMEDATE,2021,54.665
22112,EST,ADVANCED,2021,71.127
22138,EST,TOTAL,2020,53.743
22139,EST,BASIC,2020,25.946
22140,EST,INTERMEDATE,2020,62.607
22141,EST,ADVANCED,2020,75.146
22166,EST,TOTAL,2019,54.981
22167,EST,BASIC,2019,30.755
22168,EST,INTERMEDATE,2019,63.456
22169,EST,ADVANCED,2019,76.582
22194,EST,TOTAL,2018,54.686
22195,EST,LESS_THAN_BASIC,2018,-1.0
22196,EST,BASIC,2018,32.968
22197,EST,INTERMEDATE,2018,63.75
22198,EST,ADVANCED,2018,75.69
22224,EST,TOTAL,2017,54.418
22225,EST,BASIC,2017,30.248
22226,EST,INTERMEDATE,2017,63.223
22227,EST,ADVANCED,2017,76.397
22252,EST,TOTAL,2016,53.209
22253,EST,LESS_THAN_BASIC,2016,-1.0
22254,EST,BASIC,2016,27.903
22255,EST,INTERMEDATE,2016,61.519
22256,EST,ADVANCED,2016,75.084
22282,EST,TOTAL,2015,52.574
22283,EST,BASIC,2015,27.495
22284,EST,INTERMEDATE,2015,60.679
22285,EST,ADVANCED,2015,74.95
22310,EST,TOTAL,2014,50.87
22311,EST,LESS_THAN_BASIC,2014,-1.0
22312,EST,BASIC,2014,25.629
22313,EST,INTERMEDATE,2014,58.043
22314,EST,ADVANCED,2014,72.342
22343,EST,TOTAL,2013,50.882
22344,EST,LESS_THAN_BASIC,2013,-1.0
22345,EST,BASIC,2013,23.212
22346,EST,INTERMEDATE,2013,57.676
22347,EST,ADVANCED,2013,72.908
22379,EST,TOTAL,2012,50.373
22380,EST,BASIC,2012,20.552
22381,EST,INTERMEDATE,2012,57.457
22382,EST,ADVANCED,2012,73.626
22413,EST,TOTAL,2011,49.233
22414,EST,BASIC,2011,21.068
22415,EST,INTERMEDATE,2011,57.244
22416,EST,ADVANCED,2011,70.421
22447,EST,TOTAL,2010,47.331
22448,EST,BASIC,2010,18.9
22449,EST,INTERMEDATE,2010,53.191
22450,EST,ADVANCED,2010,70.971
22481,EST,TOTAL,2009,49.066
22482,EST,LESS_THAN_BASIC,2009,-1.0
22483,EST,BASIC,2009,18.687
22484,EST,INTERMEDATE,2009,57.152
22485,EST,ADVANCED,2009,72.586
22516,EST,TOTAL,2008,51.93
22517,EST,LESS_THAN_BASIC,2008,-1.0
22518,EST,BASIC,2008,22.788
22519,EST,INTERMEDATE,2008,62.686
22520,EST,ADVANCED,2008,74.543
22555,EST,TOTAL,2007,52.028
22556,EST,LESS_THAN_BASIC,2007,-1.0
22557,EST,BASIC,2007,20.31
22558,EST,INTERMEDATE,2007,61.553
22559,EST,ADVANCED,2007,77.418
22595,EST,TOTAL,2006,51.719
22596,EST,LESS_THAN_BASIC,2006,26.586
22597,EST,BASIC,2006,19.591
22598,EST,INTERMEDATE,2006,61.211
22599,EST,ADVANCED,2006,76.967
22634,EST,TOTAL,2005,49.92
22635,EST,BASIC,2005,20.92
22636,EST,INTERMEDATE,2005,58.287
22637,EST,ADVANCED,2005,74.127
22662,EST,TOTAL,2004,48.612
22663,EST,BASIC,2004,20.532
22664,EST,INTERMEDATE,2004,57.777
22665,EST,ADVANCED,2004,71.389
22690,EST,TOTAL,2003,46.992
22691,EST,BASIC,2003,17.909
22692,EST,INTERMEDATE,2003,57.754
22693,EST,ADVANCED,2003,70.098
22718,EST,TOTAL,2002,46.747
22719,EST,BASIC,2002,18.203
22720,EST,INTERMEDATE,2002,55.336
22721,EST,ADVANCED,2002,73.715
22746,EST,TOTAL,2001,45.385
22747,EST,BASIC,2001,18.305
22748,EST,INTERMEDATE,2001,54.032
22749,EST,ADVANCED,2001,68.866
22774,EST,TOTAL,2000,46.541
22775,EST,BASIC,2000,18.403
22776,EST,INTERMEDATE,2000,55.753
22777,EST,ADVANCED,2000,74.894
22802,ETH,TOTAL,2021,54.566
22803,ETH,LESS_THAN_BASIC,2021,57.398
22804,ETH,BASIC,2021,50.467
22805,ETH,INTERMEDATE,2021,42.011
22806,ETH,ADVANCED,2021,73.119
22844,ETH,TOTAL,2013,72.112
22845,ETH,LESS_THAN_BASIC,2013,75.811
22846,ETH,BASIC,2013,65.676
22847,ETH,INTERMEDATE,2013,66.291
22848,ETH,ADVANCED,2013,81.576
22886,ETH,TOTAL,2005,72.361
22887,ETH,LESS_THAN_BASIC,2005,76.296
22888,ETH,BASIC,2005,59.773
22889,ETH,INTERMEDATE,2005,48.473
22890,ETH,ADVANCED,2005,79.556
22928,FIN,TOTAL,2023,54.752
22929,FIN,BASIC,2023,22.882
22930,FIN,INTERMEDATE,2023,55.897
22931,FIN,ADVANCED,2023,71.016
22956,FIN,TOTAL,2022,54.464
22957,FIN,BASIC,2022,21.138
22958,FIN,INTERMEDATE,2022,56.867
22959,FIN,ADVANCED,2022,70.611
22987,FIN,TOTAL,2021,52.684
22988,FIN,BASIC,2021,18.554
22989,FIN,INTERMEDATE,2021,52.77
22990,FIN,ADVANCED,2021,71.862
23018,FIN,TOTAL,2020,51.123
23019,FIN,BASIC,2020,16.406
23020,FIN,INTERMEDATE,2020,53.726
23021,FIN,ADVANCED,2020,69.74
23046,FIN,TOTAL,2019,52.342
23047,FIN,BASIC,2019,17.638
23048,FIN,INTERMEDATE,2019,55.611
23049,FIN,ADVANCED,2019,70.478
23074,FIN,TOTAL,2018,51.801
23075,FIN,BASIC,2018,17.166
23076,FIN,INTERMEDATE,2018,54.819
23077,FIN,ADVANCED,2018,70.949
23102,FIN,TOTAL,2017,50.58
23103,FIN,BASIC,2017,17.017
23104,FIN,INTERMEDATE,2017,55.512
23105,FIN,ADVANCED,2017,68.861
23130,FIN,TOTAL,2016,50.296
23131,FIN,BASIC,2016,16.545
23132,FIN,INTERMEDATE,2016,55.05
23133,FIN,ADVANCED,2016,69.329
23160,FIN,TOTAL,2015,50.697
23161,FIN,BASIC,2015,17.269
23162,FIN,INTERMEDATE,2015,56.022
23163,FIN,ADVANCED,2015,70.432
23188,FIN,TOTAL,2014,51.062
23189,FIN,BASIC,2014,18.581
23190,FIN,INTERMEDATE,2014,56.176
23191,FIN,ADVANCED,2014,71.254
23216,FIN,TOTAL,2013,51.361
23217,FIN,BASIC,2013,19.905
23218,FIN,INTERMEDATE,2013,57.676
23219,FIN,ADVANCED,2013,71.447
23250,FIN,TOTAL,2012,52.04
23251,FIN,BASIC,2012,20.141
23252,FIN,INTERMEDATE,2012,59.293
23253,FIN,ADVANCED,2012,72.85
23284,FIN,TOTAL,2011,51.846
23285,FIN,BASIC,2011,20.819
23286,FIN,INTERMEDATE,2011,59.718
23287,FIN,ADVANCED,2011,72.786
23318,FIN,TOTAL,2010,51.743
23319,FIN,BASIC,2010,21.935
23320,FIN,INTERMEDATE,2010,59.925
23321,FIN,ADVANCED,2010,72.636
23352,FIN,TOTAL,2009,52.642
23353,FIN,BASIC,2009,22.083
23354,FIN,INTERMEDATE,2009,61.81
23355,FIN,ADVANCED,2009,74.121
23386,FIN,TOTAL,2008,53.548
23387,FIN,BASIC,2008,23.761
23388,FIN,INTERMEDATE,2008,62.715
23389,FIN,ADVANCED,2008,75.327
23420,FIN,TOTAL,2007,53.25
23421,FIN,BASIC,2007,24.065
23422,FIN,INTERMEDATE,2007,62.072
23423,FIN,ADVANCED,2007,76.129
23454,FIN,TOTAL,2006,53.052
23455,FIN,BASIC,2006,24.86
23456,FIN,INTERMEDATE,2006,61.578
23457,FIN,ADVANCED,2006,76.098
23488,FIN,TOTAL,2005,52.534
23489,FIN,BASIC,2005,24.64
23490,FIN,INTERMEDATE,2005,62.185
23491,FIN,ADVANCED,2005,76.289
23516,FIN,TOTAL,2004,51.69
23517,FIN,BASIC,2004,24.356
23518,FIN,INTERMEDATE,2004,61.494
23519,FIN,ADVANCED,2004,76.495
23544,FIN,TOTAL,2003,52.492
23545,FIN,BASIC,2003,26.488
23546,FIN,INTERMEDATE,2003,62.663
23547,FIN,ADVANCED,2003,77.169
23572,FIN,TOTAL,2002,52.742
23573,FIN,BASIC,2002,26.954
23574,FIN,INTERMEDATE,2002,63.407
23575,FIN,ADVANCED,2002,77.526
23600,FIN,TOTAL,2001,52.23
23601,FIN,BASIC,2001,27.168
23602,FIN,INTERMEDATE,2001,62.561
23603,FIN,ADVANCED,2001,77.276
23628,FIN,TOTAL,2000,51.318
23629,FIN,BASIC,2000,38.268
23630,FIN,INTERMEDATE,2000,62.278
23631,FIN,ADVANCED,2000,75.541
23661,FJI,TOTAL,2016,36.415
23662,FJI,LESS_THAN_BASIC,2016,13.363
23663,FJI,BASIC,2016,27.947
23664,FJI,INTERMEDATE,2016,34.028
23665,FJI,ADVANCED,2016,65.86
23699,FJI,TOTAL,2011,43.358
23700,FJI,LESS_THAN_BASIC,2011,23.567
23701,FJI,BASIC,2011,40.573
23702,FJI,INTERMEDATE,2011,39.873
23703,FJI,ADVANCED,2011,65.088
23734,FJI,TOTAL,2005,33.04
23735,FJI,LESS_THAN_BASIC,2005,12.951
23736,FJI,BASIC,2005,29.892
23737,FJI,INTERMEDATE,2005,41.499
23738,FJI,ADVANCED,2005,63.439
23768,FRA,TOTAL,2023,49.013
23769,FRA,BASIC,2023,19.863
23770,FRA,INTERMEDATE,2023,50.623
23771,FRA,ADVANCED,2023,72.367
23803,FRA,TOTAL,2022,48.771
23804,FRA,BASIC,2022,19.863
23805,FRA,INTERMEDATE,2022,50.836
23806,FRA,ADVANCED,2022,72.611
23838,FRA,TOTAL,2021,48.185
23839,FRA,BASIC,2021,19.386
23840,FRA,INTERMEDATE,2021,50.763
23841,FRA,ADVANCED,2021,72.196
23873,FRA,TOTAL,2020,46.603
23874,FRA,LESS_THAN_BASIC,2020,17.301
23875,FRA,BASIC,2020,18.308
23876,FRA,INTERMEDATE,2020,48.375
23877,FRA,ADVANCED,2020,70.748
23915,FRA,TOTAL,2019,46.977
23916,FRA,LESS_THAN_BASIC,2019,14.714
23917,FRA,BASIC,2019,18.889
23918,FRA,INTERMEDATE,2019,49.975
23919,FRA,ADVANCED,2019,71.811
23957,FRA,TOTAL,2018,46.773
23958,FRA,LESS_THAN_BASIC,2018,17.322
23959,FRA,BASIC,2018,19.724
23960,FRA,INTERMEDATE,2018,50.816
23961,FRA,ADVANCED,2018,71.004
23999,FRA,TOTAL,2017,46.499
24000,FRA,LESS_THAN_BASIC,2017,18.685
24001,FRA,BASIC,2017,20.27
24002,FRA,INTERMEDATE,2017,51.112
24003,FRA,ADVANCED,2017,71.052
24041,FRA,TOTAL,2016,46.53
