"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2021",460.645,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2021",172.554,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2021",241.429,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2021",402.299,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2021",674.963,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2021",276.371,"U",,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2020",445.541,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2020",191.5,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2020",235.504,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2020",380.078,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2020",653.961,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2020",61.139,"U",,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2019",454.052,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2019",195.612,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2019",238.5,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2019",407.64,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2019",683.095,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2019",150.261,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2018",554.543,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2018",258.091,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2018",314,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2018",501.404,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2018",839.771,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2018",447.71,"U",,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2017",740.121,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2017",384.91,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2017",436.703,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2017",686.978,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2017",1097.552,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2017",720.066,"U",,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2014",674.418,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2014",314.567,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2014",402.091,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2014",636.179,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2014",990.36,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2014",384.797,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2013",769.035,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2013",384.368,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2013",452.294,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2013",735.881,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2013",1109.988,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2013",524.874,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2012",728.451,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2012",305.281,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2012",418.373,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2012",701.71,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2012",1079.702,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2012",462.207,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2011",643.242,,,"T30:61_I13:3888","R1:3513_S4:33"
"ARG","BA:150","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2011",276.563,,,"T30:61_I13:3888","R1:3513_S4:33"
